Line# | # then | # else | conditional expression
5353       0       0           bufp->buffer == ((void *)0)
5357       0       0           old_buffer != bufp->buffer
5357       0       0           fixup_alt_jump
5357       0       0           laststart
5357       0       0           pending_exact
5357       0       2           *p == '^'
5358       0       2           *p == '^'
5365       0       2           0
5365       0       2           b - bufp->buffer + (1) > bufp->allocated
5365       0       0           0
5365       0       0           bufp->allocated == (1L << 16)
5365       0       0           bufp->allocated > (1L << 16)
5365       0       0           bufp->buffer == ((void *)0)
5369       0       0           old_buffer != bufp->buffer
5369       0       0           fixup_alt_jump
5369       0       0           laststart
5369       0       0           pending_exact
5375       0       2           (re_opcode_t)b[-2] == charset_not && (syntax & (((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1))
5382       0       4           p == pend
5384       0       4           0
5384       0       4           p == pend
5384       0       4           translate
5387       0       4           (syntax & (1)) && c == '\'
5389       0       0           p == pend
5391       0       0           0
5391       0       0           p == pend
5391       0       0           translate
5399       2       2           c == ']' && p != p1 + 1
5404       0       2           had_char_class && c == '-' && *p != ']'
5411       0       2           c == '-' && !(p - 2 >= pattern && p[-2] == '[') && !(p - 3 >= pattern && p[-3] == '[' && p[-2] == '^') && *p != ']'
5418       0       0           ret != REG_NOERROR
5421       2       0           p[0] == '-' && p[1] != ']'
5426       0       2           0
5426       0       2           p == pend
5426       0       2           translate
5429       0       2           ret != REG_NOERROR
5435       0       0           syntax & (((1) << 1) << 1) && c == '[' && *p == ':'
5439       0       0           0
5439       0       0           p == pend
5439       0       0           translate
5443       0       0           p == pend
5447       0       0           0
5447       0       0           p == pend
5447       0       0           translate
5448       0       0           c == ':' || c == ']' || p == pend || c1 == 6
5458       0       0           c == ':' && *p == ']'
5474       0       0           !(((strcmp(str, 'alpha') == 0)) || ((strcmp(str, 'upper') == 0)) || ((strcmp(str, 'lower') == 0)) || ((strcmp(str, 'digit') == 0)) || ((strcmp(str, 'alnum') == 0)) || ((strcmp(str, 'xdigit') == 0)) || ((strcmp(str, 'space') == 0)) || ((strcmp(str, 'print') == 0)) || ((strcmp(str, 'punct') == 0)) || ((strcmp(str, 'graph') == 0)) || ((strcmp(str, 'cntrl') == 0)) || ((strcmp(str, 'blank') == 0)))
5478       0       0           0
5478       0       0           p == pend
5478       0       0           translate
5480       0       0           p == pend
5482       0       0           ch < 1 << 8
5484       0       0           (is_alnum && (1 && ((*__ctype_b_loc())[(int)((ch))] & (unsigned short)_ISalnum))) || (is_alpha && (1 && ((*__ctype_b_loc())[(int)((ch))] & (unsigned short)_ISalpha))) || (is_blank && (1 && ((*__ctype_b_loc())[(int)((ch))] & (unsigned short)_ISblank))) || (is_cntrl && (1 && ((*__ctype_b_loc())[(int)((ch))] & (unsigned short)_IScntrl))) || (is_digit && (1 && ((*__ctype_b_loc())[(int)((ch))] & (unsigned short)_ISdigit))) || (is_graph && (1 && ((*__ctype_b_loc())[(int)((ch))] & (unsigned short)_ISgrc1--
5599       0       0           c1--
5615       48       2           (int)b[-1] > 0 && b[b[-1] - 1] == 0
5622       0       0           '('
5623       0       0           syntax & ((((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5629       0       0           ')'
5630       0       0           syntax & ((((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5636       0       0           '
'
5637       0       0           syntax & ((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5643       0       0           '|'
5644       0       0           syntax & ((((((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5650       0       0           '{'
5651       0       0           syntax & ((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) && syntax & (((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5657       0       0           '\'
5658       0       0           p == pend
5663       0       0           0
5663       0       0           p == pend
5667       0       0           '('
5668       0       0           syntax & ((((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5675       0       0           (compile_stack.avail == compile_stack.size)
5679       0       0           compile_stack.stack == ((void *)0)
5694       0       0           fixup_alt_jump
5702       0       0           regnum <= 255
5705       0       0           0
5705       0       0           b - bufp->buffer + (3) > bufp->allocated
5705       0       0           0
5705       0       0           bufp->allocated == (1L << 16)
5705       0       0           bufp->allocated > (1L << 16)
5705       0       0           bufp->buffer == ((void *)0)
5709       0       0           old_buffer != bufp->buffer
5709       0       0           fixup_alt_jump
5709       0       0           laststart
5709       0       0           pending_exact
5724       0       0           ')'
5725       0       0           syntax & ((((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5727       0       0           (compile_stack.avail == 0)
5728       0       0           syntax & ((((((((((((((((((1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1) << 1)
5734       0       0           fixup_alt_jump
5739       0       0           0
5739       0       0           b - bufp->buffer + (1) > bufp->allocated
5739       0       0           0
